i,RECONSTRUCTION_RUNTIME (in min),CUBE_RUNTIME (in min),CUBE_RUNTIME (in MM:SS),MATRIX_ZNCC,X (in um),Y (in um),ROT (in degree),W (in um),H (in um),MATRIX_ITER,MATRIX_FEVAL,MATRIX_IND,FIBRES_RUNTIME (in min),FIBRES_RUNTIME (in MM:SS),FIBRE_ZNCC,RADIUS_CORE (in um),RADIUS_FIBRE (in um),RADIUS_CORE (in pixels),RADIUS_FIBRE (in pixels),FIBRE_ITER,FIBRE_FEVAL,FIBRE_IND,AVG,STDDEV,MIN,MAX
11,.11999138593673706666,12.14427060683568333333,.00843352125474700231,0.4400316922843735,-63.646977024,-22.501214208,180.25248574,1443.143663616,1048.42161834173104128,150,1200,8,9.95945351918538333333,.00691628716610096064,0.7959495514508106,7.1297313646689755,71.58735425789803,3.75249019193103973684,37.67755487257791052631,62,372,6,3.5348963891466316,9.708810445512464,-12.718814418266403,204.68144385113678
12,.12031168540318806666,6.50895337263743083333,.00452010650877599363,0.4400105086668534,-63.230540800,-22.67363328,180.25219703,1442.334527488,1048.6762898658144256,82,656,8,15.12825088898340833333,.01050572978401625578,0.8261933049582407,7.694208856672298,49.54990372178339,4.04958360877489368421,26.07889669567546842105,94,564,6,5.11751625429788,10.472895948072155,-11.79259095759757,200.26539154026102
13,.12064865827560425000,5.07040614287058500000,.00352111537699346180,0.35172575888780533,-60.144935936,-24.309454848,179.5001354,1235.220232192,1235.21914519819567104,63,504,8,11.41785975297292000000,.00792906927289786111,0.3908409589921747,93.69151327755809,98.64457407394978,49.31132277766215263157,51.91819688102620000000,71,426,6,37.54535700682463,41.45625313808018,-83.56453766342445,186.809755114739
14,.11957072019577026666,9.69134805997212666666,.00673010281942508796,0.44011572779876174,-63.004442624,-22.794085376,180.25231507,1442.588700672,1049.4802503026085888,119,952,8,11.42598905563354500000,.00793471462196773958,0.826246956855733,7.691828598199281,49.56244997356071,4.04833084115751631578,26.08549998608458421052,70,420,6,5.121465787089548,10.469624222878616,-11.789124503450124,200.21434229600467
15,.12008701165517171666,5.39814148743947333333,.00374870936627741203,0.4399785011362537,-63.58901760,-22.97403392,179.75219592,1442.569672704,1048.70946233718607872,66,528,8,9.97010944684346500000,.00692368711586351736,0.8256744627437415,7.710667872275398,49.26159605001623,4.05824624856599894736,25.92715581579801578947,61,366,6,5.136920246372427,10.490276848205335,-11.813074463710599,200.28764458808686
16,.11997410853703816666,6.42732735077540083333,.00446342177137180613,0.439989421802556,-63.214197760,-23.246320640,180.25235013,1441.730360320,1050.18359990898723840,78,624,8,13.25628911654154500000,.00920575633093162847,0.8261530548346885,7.693958056857351,49.5619506843344,4.04945160887229000000,26.08523720228126315789,80,480,6,5.1223061875747735,10.472063499732945,-11.972454317435526,200.1989083010839
17,.11934813261032105000,11.94620607693990000000,.00829597644231937500,0.4399218743011819,-63.118941184,-22.688575488,179.75224872,1441.313768448,1048.83050977646155776,148,1184,8,15.24628595908482833333,.01058769858269779745,0.826144738719151,7.692565357979444,49.550655734120795,4.04871860946286526315,26.07929249164252368421,95,570,6,5.11407994061313,10.471503947713273,-11.825152106761976,200.23573493406766
18,.12030882040659586666,10.05141183137893666666,.00698014710512426157,0.43990598119249463,-63.739509760,-23.03570944,179.75234893,1442.185377792,1049.62243142589493248,122,976,8,9.21477363506953000000,.00639914835768717361,0.8255869621369238,7.7080612650349085,49.25853005265028,4.05687435001837289473,25.92554213297383157894,56,336,6,5.1398438301402605,10.487065728912345,-11.86325243727066,200.21790322490696
19,.12201007604598998333,8.09949195384979250000,.00562464719017346701,0.3517407302943914,-59.82739456,-24.31961088,179.50007181,1235.141163008,1235.14115065658836992,99,792,8,9.67721338272094666666,.00672028707133399074,0.3909383730585319,93.37673965932224,104.9926463294577,49.14565245227486315789,55.25928754181984210526,59,354,6,37.4233809397966,41.35316288923467,-87.56165824060069,184.47421289719875
20,.12016915877660115000,5.52150127092997233333,.00383437588259025856,0.35184946214080864,-60.146414592,-24.609427456,180.49946192,1235.290448896,1235.29039948438204416,68,544,8,11.22966199318567833333,.00779837638415672106,0.3907098989909986,93.69232691576832,104.3398327415336,49.31175100829911578947,54.91570144291242105263,68,408,6,37.580303499901376,41.53455268056176,-86.7093705926628,191.44013690827023
21,.12057851950327555000,6.61759665807088216666,.00459555323477144594,0.43986803736932834,-63.555533824,-23.2654848,180.252302,1441.48297728,1049.830755018344448,82,656,8,12.17707455952962166666,.00845630177745112615,0.8259910957101569,7.71020604850026,49.498922961972454,4.05800318342118947368,26.05206471682760736842,75,450,6,5.1260410547084545,10.490738266631771,-12.013347828713423,200.33543534892053
22,.12090482711791991666,7.18192526896794666666,.00498744810344996296,0.4398286760496744,-63.955549184,-22.88045056,179.75239355,1441.91314944,1049.5733686290321408,88,704,8,11.17602633635203000000,.00776112940024446527,0.8254805793940473,7.7167374723694095,49.22415626077994,4.06144077493126815789,25.90745066356838947368,69,414,6,5.142039268038748,10.497132958136344,-11.906104910386638,200.28375089378008
23,.12089016040166219000,7.76184835433960000000,.00539017246829138888,0.4399890446403381,-63.316088832,-22.807471104,180.25228918,1442.192070656,1048.6032884340639744,96,768,8,11.42694071531295833333,.00793537549674510995,0.8261029998477342,7.699878007559972,49.50619783922601,4.05256737239998526315,26.05589359959263684210,70,420,6,5.119997316721591,10.479378376321012,-11.81756027825795,200.29448822303834
24,.12155005931854248333,6.73395043611526500000,.00467635446952448958,0.4397872299590225,-63.87151872,-22.47245824,180.25206678,1441.637438464,1048.93123389420923904,83,664,8,11.87686649560928333333,.00824782395528422453,0.8255505420252464,7.709824828287327,49.26072101500292,4.05780254120385631578,25.92669527105416842105,73,438,6,5.134452025200558,10.489797857471988,-11.808343303500676,200.29430850982732
25,.11981430848439535000,4.96577035983403500000,.00344845163877363541,0.4401483894061413,-63.324299264,-22.537772032,180.25238514,1443.513133056,1049.1555940483454976,61,488,8,23.39237864812215000000,.01624470739452927083,0.826190187271861,7.701222327246271,49.5207220481157,4.05327490907698473684,26.06353792006089473684,145,870,6,5.127319639268239,10.480004326914756,-11.753606557096923,200.29435735137847
26,.12004009087880452500,8.19774967829386400000,.00569288172103740555,0.4400286694058947,-63.809959936,-22.63433216,179.75210036,1443.595412480,1048.26813688013148160,101,808,8,12.01193448702494333333,.00834162117154509953,0.8256654342877874,7.715177470008011,49.23807320128176,4.06061972105684789473,25.91477536909566315789,73,438,6,5.140629694935715,10.49501991631024,-11.752985948938273,200.33369478366814
27,.12071717977523803333,8.26622685591379833333,.00574043531660680439,0.43995950892357344,-63.329377280,-22.700891136,179.75219283,1441.854606336,1049.44630548497433600,100,800,8,10.78133118947347000000,.00748703554824546527,0.8261232668352493,7.693280883493226,49.53862798938323,4.04909520183854000000,26.07296209967538421052,65,390,6,5.120092231550492,10.47158889311744,-11.807015143737827,200.23249307293446
28,.11924722592035930000,5.06681322654088333333,.00351862029620894675,0.4400586100162397,-63.42500352,-23.293151232,180.25223895,1442.885696512,1049.03261558983573504,62,496,8,14.55553037722905500000,.01010800720640906597,0.8261152623602563,7.7095397522817315,49.49340775322201,4.05765250120091131578,26.04916197538000526315,90,540,6,5.1273799554406665,10.489587592795695,-11.833481531800055,200.36326170549853
29,.12032006581624348333,5.44469356536865233333,.00378103719817267523,0.38138461111206995,-47.157725184,-68.392003584,180.27052544,1242.6605568,1040.541556277763072,67,536,8,12.78003903230031333333,.00887502710576410648,0.7730381465720085,8.906664039711943,29.836529808829358,4.68771791563786473684,15.70343674148913578947,78,468,6,5.408293500419607,11.858503843356328,-16.12106810371636,204.20020147737122
