i,RECONSTRUCTION_RUNTIME (in min),CUBE_RUNTIME (in min),CUBE_RUNTIME (in MM:SS),MATRIX_ZNCC,X (in um),Y (in um),ROT (in degree),W (in um),H (in um),MATRIX_ITER,MATRIX_FEVAL,MATRIX_IND,FIBRES_RUNTIME (in min),FIBRES_RUNTIME (in MM:SS),FIBRE_ZNCC,RADIUS_CORE (in um),RADIUS_FIBRE (in um),RADIUS_CORE (in pixels),RADIUS_FIBRE (in pixels),FIBRE_ITER,FIBRE_FEVAL,FIBRE_IND,AVG,STDDEV,MIN,MAX
11,.17760395606358846666,10.87892783880233833333,.00755481099916829050,0.3994596629419733,-63.767643136,-23.247176704,180.25152054,1434.528449536,920.4174098474048512,170,1360,8,14.78518480857213333333,.01026748945039731481,0.7995346787587138,7.423122929449654,44.45737050513686,3.90690680497350210526,23.39861605533518947368,94,564,6,4.642479540337252,10.185796395259468,-14.859801245593333,198.23563411459202
12,.21602416833241780000,5.72168925603230833333,.00397339531668910300,0.3994265579803848,-63.347101696,-23.023335424,180.2516299,1433.525706752,921.00375468840902656,81,648,8,23.78990211089452166666,.01652076535478786226,0.7995392692183791,7.423129350959457,44.48226752330557,3.90691018471550368421,23.41171974910819473684,138,828,6,4.640843291824055,10.185716709115036,-14.82956496369534,198.25560077954273
13,.19530986547470093333,4.96490395069122333333,.00344784996575779398,0.39956575626735213,-64.016971776,-23.088221184,179.75141795,1434.092888064,920.80130033939595264,72,576,8,17.00637985070546500000,.01180998600743435069,0.7996250198181822,7.422466079815891,44.483537723929196,3.90656109463994263157,23.41238827575220842105,102,612,6,4.641703067083717,10.185162833883831,-14.85334251393753,198.23747324671697
14,.23109654982884725000,7.16698111693064333333,.00497707022009072453,0.399741498526023,-63.452183552,-23.540436992,179.7517808,1433.81128192,921.8863415032008704,99,792,8,15.42102382977803500000,.01070904432623474652,0.7997600065389875,7.4202448680527295,44.55090224488557,3.90539203581722605263,23.44784328678187894736,78,468,6,4.642553371061613,10.181892940947689,-14.830111962570626,198.22857400921632
15,.17736680905024210000,5.62750274737676000000,.00390798801901163888,0.39943027683595367,-63.574756352,-23.166220288,180.25167833,1434.217659392,920.56657396075767808,88,704,8,15.85224500497182166666,.01100850347567487615,0.799501362809758,7.422484767304372,44.455715947818135,3.90657093016019578947,23.39774523569375526315,101,606,6,4.642118638074405,10.185013014846417,-14.846402434535698,198.23410992321053
16,.18629661798477173333,3.69042923847834266666,.00256279808227662685,0.39951798734312516,-63.277040640,-23.030553600,180.25146761,1433.29316864,921.4564240026136576,58,464,8,11.62709994316101000000,.00807437496052847916,0.7996394594773386,7.423097970528126,44.51688053440509,3.90689366869901368421,23.42993712337110000000,76,456,6,4.640700267013572,10.185557204415332,-14.832159023416567,198.26661419860233
17,.19044547478357950000,6.63310194015502933333,.00460632079177432592,0.3996202824918911,-63.944439808,-22.887123968,180.25151782,1433.927726080,921.09576360810050560,97,776,8,14.15251647233963000000,.00982813643912474305,0.7996305424271413,7.420035674590057,44.48525183264163,3.90528193399476684210,23.41329043823243684210,84,504,6,4.642083843060072,10.182309965700862,-14.883412386209658,198.2167994424372
18,.18090477784474690000,8.72117990255355833333,.00605637493232885995,0.3998390194468528,-63.559600128,-23.395295232,180.25141926,1434.055007232,921.98673230636805120,124,992,8,14.76093868811925333333,.01025065186674948148,0.7998708870882557,7.420280562673911,44.585314907708096,3.90541082245995315789,23.46595521458320842105,84,504,6,4.6422498587829955,10.182046407582638,-14.862367801915857,198.2323490306461
19,.22184683084487915000,9.42456867694854666666,.00654483935899204629,0.3996373554261056,-63.841439744,-22.948643840,179.75140611,1432.946598912,921.64823929781987328,133,1064,8,17.77975685199101666666,.01234705336943820601,0.7997135767153357,7.422659161177229,44.516598156924616,3.90666271640906789473,23.42978850364453473684,101,606,6,4.640637238687251,10.185230227752886,-14.85618840798653,198.26472636537468
20,.17797500689824421666,4.82616132895151766666,.00335150092288299837,0.39971904214038173,-63.826867200,-22.867201024,180.25137969,1434.893288448,921.04979426516127744,76,608,8,12.53688524564107333333,.00870617030947296759,0.7997179537041595,7.420073356773987,44.51941403270461,3.90530176672315105263,23.43127054352874210526,82,492,6,4.643357033317195,10.182224784428595,-14.875894097123473,198.2164096080341
21,.17723029851913451666,4.34450732469558716666,.00301701897548304664,0.3566815334256545,-60.847064064,-23.140013056,180.49999598,1122.323990528,1122.3239905280,68,544,8,15.25599947770436666666,.01059444408173914351,0.7753259014511388,7.633629260599338,43.05136883650172,4.01769961084175684210,22.65861517710616842105,97,582,6,4.553669529585759,10.455842767089852,-11.95191137100261,198.85097570234643
22,.17631420294443766666,7.35747381846110000000,.00510935681837576388,0.3995827512725991,-63.81645824,-23.076878336,179.75174332,1433.5219712,921.26952364654592,116,928,8,12.57014534473419166666,.00872926760050985532,0.7996038966416648,7.420115156026191,44.48530875591924,3.90532376632957421052,23.41332039785223157894,81,486,6,4.6416322739031886,10.182257442988105,-14.853711995353406,198.22066436376423
23,.17668560743331910000,5.18868226607640583333,.00360325157366417071,0.3997359321706819,-63.366693888,-22.962691072,179.751772,1433.301417984,922.13228319663194112,81,648,8,13.59230008920033833333,.00943909728416690162,0.7997600093398534,7.420245840864946,44.55658672193006,3.90539254782365578947,23.45083511680529473684,86,516,6,4.64177603930993,10.182102526927759,-14.818733761837505,198.2425574022695
24,.17667835950851440000,4.77578699191411333333,.00331651874438480092,0.39987838204443116,-64.084464640,-23.23143680,180.2513937,1433.069911040,922.23478677316930560,75,600,8,14.12999763886133833333,.00981249836032037384,0.7999239537903877,7.4230917133932035,44.578244783633025,3.90689037547010710526,23.46223409664896052631,90,540,6,4.641284194670489,10.185511210435106,-14.882010144440791,198.27279848147427
25,.21775105794270833333,14.51188300848007166666,.01007769653366671643,0.39977807454314085,-63.738887168,-23.274765312,179.7516131,1433.721278464,921.83843705320910848,207,1656,8,12.32693961064020833333,.00856037472961125578,0.7997780921897537,7.420251224924809,44.53940287928877,3.90539538153937315789,23.44179098909935263157,71,426,6,4.642622761347985,10.182157211787082,-14.847603445937866,198.23017087107755
26,.20581004619598388333,10.87547276814778666666,.00755241164454707407,0.40029449346106827,-64.859144192,-23.344242688,179.75175394,1434.579190784,922.43129229147609088,152,1216,8,16.98302540381749500000,.01179376764153992708,0.8001523229137617,7.4200900417496145,44.628325140140674,3.90531054828927078947,23.48859217902140736842,98,588,6,4.644584124598907,10.182001330514943,-14.89394795257439,198.2290308621887
27,.22783927917480468333,5.63580123980840000000,.00391375086097805555,0.3996660627299172,-63.035902976,-22.835156992,180.25147202,1433.74240768,921.8798657631276032,78,624,8,23.55855087836583333333,.01636010477664293981,0.799723510721075,7.420092139979479,44.55155102005527,3.90531165262077842105,23.44818474739751052631,129,774,6,4.64201893162523,10.18191376082906,-14.827474322055643,198.23839393327444
28,.26209549109141033333,6.68943969806035333333,.00464544423476413425,0.3996605420894754,-64.267020288,-23.000182784,180.25152331,1433.843092480,921.07287134571048960,87,696,8,35.68041905164718333333,.02477806878586609953,0.7996578545979434,7.420274422949081,44.48501465301806,3.90540759102583210526,23.41316560685161052631,162,972,6,4.641858292156516,10.182676511682462,-14.865464361985364,198.21951672579087
29,.18190281788508096666,5.19366209506988500000,.00360670978824297569,0.39994828866305926,-63.735618560,-23.333288960,179.75141816,1434.151528448,922.18179121439250432,79,632,8,14.97708926598231000000,.01040075643470993750,0.7999473611966214,7.420097438612955,44.600855270534,3.90531444137523947368,23.47413435291263157894,95,570,6,4.642835978957273,10.18181851266069,-14.875503894583222,198.2301600569058
