i,RECONSTRUCTION_RUNTIME (in min),CUBE_FIBRES_RUNTIME (in min),CUBE_FIBRES_RUNTIME (in MM:SS),CUBE_FIBRES_ZNCC,X (in um),Y (in um),ROT (in degree),W (in um),H (in um),RADIUS_CORE (in um),RADIUS_FIBRE (in um),RADIUS_CORE (in pixels),RADIUS_FIBRE (in pixels),FIBRE_ITER,FIBRE_FEVAL,FIBRE_IND,AVG,STDDEV,MIN,MAX
17,.18704648017883300000,50.57646456956863333333,.03512254483997821759,0.6679639550435889,-374.159474935660142592,-549.693940431427149824,179.5426997693513674,466.255737027036275712,106.10336367385266416525,3.963988090753398,100.70062890215384,2.08630952144915684210,53.00033100113360000000,209,1881,9,1.5133933469587055,4.525745253157657,-11.138476076469136,142.99682384619078
18,.22465959787368775000,54.40835653543472333333,.03778358092738522453,0.38721716343889917,-113.842386980981478400,423.572408336406345728,180.4519067688350519,1945.368427468516848640,871.87927761250066549380,93.85184045460919,99.13921801858152,49.39570550242588947368,52.17853579925343157894,200,1800,9,38.56584482739508,39.15046988343736,-88.72498749982817,209.2031004611462
19,.18708055416742960000,39.94086863199870000000,.02773671432777687500,0.3887889590512764,818.0762546462977024,-739.40814656745631744,179.5030292912101974,608.023296020899875840,551.10733840836712228503,93.49946406504753,102.38522839241072,49.21024424476185789473,53.88696231179511578947,165,1485,9,37.65092944679359,40.95634251060558,-90.31211206304958,199.19908438654434
20,.18723607063293456666,57.89721565246581666666,.04020639975865681712,0.3875431755037418,-104.5886548121242874880,441.301465140232809472,179.96178917026011357,1943.8147516053761024,807.76915635278254947208,93.75082356596725,99.07448162815619,49.34253871893013157894,52.14446401481904736842,239,2151,9,38.4428176513356,39.25818891682097,-88.79995908323863,201.1759293768446
21,.20989644130071005000,36.31014776229858333333,.02521538039048512731,0.38639158687152086,-169.897349193220232192,328.530713746848231424,180.39811281242198504,1941.958806220663954432,1065.42666287599226248648,91.78791361134373,96.67000073764888,48.30942821649670000000,50.87894775665730526315,147,1323,9,37.61016966077731,37.7438994128118,-90.38535635546833,169.3785450802487
22,.20866000254948933333,96.23038892745971666666,.06682665897740258101,0.5956476914894383,-303.120773536601336832,-737.952652574644894720,179.88260803460938897,40.767860882197979136,18.68889486641790148111,2.876635077100615,97.45903799426486,1.51401846163190263157,51.29423052329729473684,388,3492,9,1.3397515634498351,3.2655621327567617,-7.002075433929093,98.76188822512599
23,.21032547950744628333,37.82411501010259000000,.02626674653479346527,0.388824225971653,-957.377854442594064384,180.435579347406637056,180.49997519875614066,1401.544660713741481984,560.15642635576243468934,93.3635491823308,100.03735765960157,49.13871009596357894736,52.65124087347451052631,152,1368,9,37.67423142189186,40.72022344366108,-91.5405304799833,187.46499847098548
24,.20801176627477010000,75.19933388233185000000,.05222175964050822916,0.38422862547246295,10.4016579391671250944,118.4574380967191691264,179.56913789574042384,1901.95766957594652672,1869.64386794896516642529,92.83019671506794,98.12024665453767,48.85799827108838947368,51.64223508133561578947,306,2754,9,39.3867331690271,36.01643110340233,-49.932472237318485,235.3354774020171
25,.28569632371266683333,55.77166448831558333333,.03873032256133026620,0.3895682100448538,-435.177170190807375872,-216.336557911274573824,179.7094838086658406,1945.59712031120513024,577.61769284588891064595,93.8225656464924,98.78484764181677,49.38029770868021052631,51.99202507464040526315,158,1422,9,38.07581915181958,40.12096832923584,-83.20929692091744,190.14772909266233
26,.20166586240132650000,119.07566704352696666666,.08269143544689372685,0.6067951026679824,-968.397859131046273024,677.38276286353747968,180.4706329087770205,1164.852452181883467776,.00534273740144948902,2.9753979712417737,97.08588052003242,1.56599893223251247368,51.09783185264864210526,484,4356,9,1.3398907213290838,3.3378754698344637,-6.680338405812283,102.54675545331045
27,.17941697041193645000,64.64293237129847166666,.04489092525784616087,0.388828641291529,-69.8803086152984576,485.107227593833504768,179.959403887729283866,1841.7340506771636224,705.66347302598695919005,93.60518284974145,99.05772676958351,49.26588571039023684210,52.13564566820184736842,201,1809,9,38.17438786665546,39.55161656679719,-89.73257964697403,192.3586802208707
28,.24734922250111898333,53.00050127506256166666,.03680590366323789004,0.38793722756457283,-790.61103849359090688,512.755765934662754304,179.59113408483955865,1397.748645346860479488,509.06514508099177859896,93.37010008763038,98.89289793277024,49.14215794085809473684,52.04889364882644210526,175,1575,9,37.6647688592257,40.66431285111448,-91.58144722428142,186.6781055253339
29,.23039859930674235000,56.09212693770726666666,.03895286592896337962,0.3871477885470701,-13.7742734529187606528,24.2281458523891612672,179.59282824639380416,1796.71102766201468928,1395.75457670151658889248,94.16479175099296,102.21917026267957,49.56041671104892631578,53.79956329614714210526,181,1629,9,38.89342217951481,38.91479193262953,-81.06705311125809,196.35867901895583
